,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added
436,s437,Movie,The Tambour of Retribution,Abdulaziz Alshlahei,"Faisal Al Dokhei, Adwa Fahad, Muhand Alsaleh, Rawya Ahmed, Ajeba Aldosary, Aly Ibrahim, Samer Elkhal, Hashem Hawsawi, Ibrahim Mesisebi, Shabib Alkhaleefa, Abdulateif Saud, Nada Alshehry, Dhay Nasser",Saudi Arabia,2021-07-19,2021,TV-14,91 min,"Dramas, International Movies, Romantic Movies","In an impoverished neighborhood, the son of a swordsman falls in love with the daughter of a wedding singer — a taboo match in a traditional society.",2021.0,7.0
529,s530,Movie,Return of the Prodigal Son,Youssef Chahine,"Majida El Roumi, Souheir El Morshidy, Shoukry Sarhan, Huda Sultan, Mahmoud El Meleigy, Ahmad Mehrez, Hesham Selim",Egypt,2021-07-06,1976,TV-MA,124 min,"Dramas, International Movies","Freed after spending 12 years in jail, a man's homecoming turns into a dark affair as his disillusion clashes with his family's expectations.",2021.0,7.0
859,s860,Movie,Asmaa,Amr Salama,"Hend Sabry, Maged El-Kidwani, Hany Adel, Sayed Rajab, Ahmed Kamal, Boutros Ghaly, Laila Ezz El Arab, Samia Asaad, Fatmah Adel, Mohamad Yones, Mohamed Abd El Azim",Egypt,2021-05-20,2011,TV-14,92 min,"Dramas, International Movies","Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events.",2021.0,5.0
991,s992,Movie,One Like It,Marwan Nabil,"Riham Abdel Ghafour, Mohammed Aly Rizk, Hazem Samir, Salwa Othman, Mahmoud Gharib",Egypt,2021-04-23,2020,TV-G,15 min,"Dramas, Independent Movies, International Movies",This short film follows a day in the life of a young woman in Egypt and how her interactions with others expose long-standing stereotypes and biases.,2021.0,4.0
1201,s1202,TV Show,Abla Fahita: Drama Queen,missing,"Bassem Samra, Donia Maher, Zeina Mansour, Osama Abdallah, Mohamed El Swisi, Rehab Hussien",Egypt,2021-03-15,2021,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Comedies","Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",2021.0,3.0
1229,s1230,TV Show,My Way,missing,"Sherine, Ahmed Fahmi, Bassel Khaiat, Sawsan Badr, Mahmoud El Gendy, Mohammad Adel, Tamim Abdou, Nada Moussa, Tharaa Jubail, Mohamed Mamdouh, Basma Yasser, Laila Ezz El Arab",Egypt,2021-03-06,2015,TV-14,1 Season,"International TV Shows, TV Dramas","In the 1970s, an aspiring singer struggles to prove herself in the face of challenges posed by her strict upbringing and romantic choices.",2021.0,3.0
1511,s1512,Movie,Mohamed Hussein,Muhammad Ali,"Mohamed Saad, Samir Sabri, Mai Selim, Dina Mohsen, Bayoumi Fouad, Mohammed Tharwat, Feryal Youssef, Nabil Issa, Ahmed Seyam, Hassan Abdulfattah, Hamdi Al Wazir, Mohamed Shahin",Egypt,2020-12-20,2019,TV-14,96 min,"Comedies, International Movies",A luxury hotel chauffeur's life is turned upside down when he unexpectedly becomes the focus of a renowned painter's final art project.,2020.0,12.0
1569,s1570,TV Show,Masameer Classics,missing,"Malik Nejer, Abdulaziz Alshehri",Saudi Arabia,2020-12-09,2013,TV-14,4 Seasons,"International TV Shows, TV Comedies","Through dark comedy and eccentric characters, this web series offers a humorous view of the changes and cultural shifts in Saudi Arabia from 2011-2019.",2020.0,12.0
1570,s1571,TV Show,Once Upon a Time,missing,"Ruby, Mohamed Farraag, Ahmed Dawood, Sawsan Badr, Arwa Gouda, Hesham Ismail, Ali Al Tayeb, Mahmoud El-Bezzawy, Heba Abdelghany, Hany Seif",Egypt,2020-12-09,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Fighting to save his ancestors' mansion from demolition, Youssef unpacks a series of love stories that took place there with a journalist.",2020.0,12.0
1658,s1659,TV Show,Valentino,missing,"Adel Imam, Dalal Abdelaziz, Hamdy Al-Merghany, Mohamed al-Kilani, Tarek El Ebiary, Huda El Mufti, Soleiman Eid, Badria Tolba, Reda Idrees, Enaam Al-Gritly, Wafaa Sadeq, Rania Mahmoud Yassin",Egypt,2020-11-24,2020,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas","As the owner of a group of international schools, a man gets caught in a series of scams as his wife, a principal, rules his life with an iron fist.",2020.0,11.0
1662,s1663,Movie,The Suit,Mohammad Adel,"Tamer Hosny, Akram Hosny, Amina Khalil, Dalal Abdelaziz, Maged El-Masri, Yasser Ali Maher, Salwa Mohammed, Mahmoud El-Bezzawy, Hassan Hosny, Taher Abu Lela, Ahmed Zaher",Egypt,2020-11-23,2018,TV-14,97 min,"Action & Adventure, Comedies, International Movies","After a duo of slackers dress up as policemen for a costume party, they decide to prolong their disguise — not knowing that it will lead them to danger.",2020.0,11.0
1737,s1738,TV Show,Paranormal,missing,"Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader",Egypt,2020-11-05,2020,TV-14,1 Season,"International TV Shows, TV Dramas, TV Horror","After a skeptical hematologist is plunged into a series of inexplicable events, he unwillingly becomes the go-to-guy for paranormal investigations.",2020.0,11.0
1846,s1847,Movie,El-Khawaga's Dilemma,Peter Mimi,"Hassan El Raddad, Mohamed Lotfy, Hana El Zahed, Hassan Hosny, Majed El Masry, Mohamed Ezz, Samia Trabelsi, Yasser Al Zankalouni, Ahmed El Sobky, Bayoumi Fouad",Egypt,2020-10-15,2018,TV-14,94 min,"Action & Adventure, Comedies, International Movies","After a car crash, sparks fly for a financially struggling man and the daughter of a business tycoon, unraveling dark secrets and loose ends.",2020.0,10.0
1920,s1921,Movie,The Book of Sun,Faris Godus,"Baraa Alem, Ismail Alhassan, Ahmed Saddam, Sohayb Godus, Nawaf Alshubaili, Eyad Ayman Kaifi",Saudi Arabia,2020-10-01,2020,TV-14,120 min,"Comedies, Independent Movies, International Movies","A high school senior sets out to make a no-budget horror film with his friend, one-time rival and teacher, but the project soon jeopardizes their future.",2020.0,10.0
1970,s1971,Movie,The Blue Elephant 2,Marwan Hamed,"Karim Abdel Aziz, Nelly Karim, Hend Sabry, Shereen Reda, Khaled El Sawy, Eyad Nassar, Tara Emad, Amgad Elsharqawy",Egypt,2020-09-20,2019,TV-MA,130 min,"Horror Movies, International Movies, Thrillers","When a former criminal psychiatrist discovers that a patient holds a secret that threatens his family, he must resort to extreme measures to save them.",2020.0,9.0
2028,s2029,Movie,Son Of Adam,Ahmed Nader Galal,"Youssef El Sherif, Dina El-Sherbiny, Ahmad Rizq, Hana El Zahed, Mahmoud El Gendy, Bayyumi Fuad, Khaled Kamal, Mahmoud El-Bazzawy",Egypt,2020-09-10,2018,TV-14,110 min,"Dramas, International Movies, Thrillers","To escape conviction on criminal charges, a businessman agrees to aid a risky police mission, but his motives soon turn suspicious.",2020.0,9.0
2110,s2111,Movie,Scarecrow,Khaled Marei,"Ahmed Helmy, Menna Shalaby, Khaled El Sawy, Bayoumi Fouad, Entsar, Samy Maghawry, Mahmoud Ellisy, Yasser El Tobgy, Hassan Hosny, Lotfy Labib",Egypt,2020-08-20,2019,TV-MA,121 min,"Comedies, International Movies","When his former partners vote to sell off a pricey piece of stolen jewelry, a thief recruits his grandson to help him retain it and repent for his deed.",2020.0,8.0
2125,s2126,TV Show,Takki,missing,"Moayed Althagafi, Khairiah Abulaban, Ali Alsharif, Adel Redwan, Redwan Alremey, Hind Alsaigh, Reem Alhabib, Khaled Bamashmoos, Fahad Ghazoli, Dareen Albayedh, Naif Althufairi, Mohammad Balkhi",Saudi Arabia,2020-08-15,2014,TV-14,2 Seasons,"International TV Shows, TV Dramas","In Jeddah, Saudi Arabia, a young aspiring filmmaker and his circle of friends grapple with family expectations, gender roles, romance and rivalry.",2020.0,8.0
2247,s2248,Movie,Mama's Boy,Amro Salah,"Hesham Maged, Shikoo, Mohammed Tharwat, Mahmoud Ellisy, Ahmed Sultan, Noor Kadri",Egypt,2020-07-10,2018,TV-14,101 min,"Comedies, International Movies",A man undergoes a heart transplant following a serious injury and begins to take on some of the donor's motherly characteristics.,2020.0,7.0
2367,s2368,Movie,An Egyptian Story,Youssef Chahine,"Nour El-Sherif, Magda El-Khatib, Yousra, Mohsen Mohiedine, Oussama Nadir, Layla Hamadah, Mohamed Mounir, Ragaa Hussein",Egypt,2020-06-18,1982,TV-MA,129 min,"Classic Movies, Dramas, Independent Movies","While undergoing heart surgery in London, Yehia reflects on his life as his heart chamber becomes a courtroom where he's tried for his mistakes.",2020.0,6.0
2368,s2369,Movie,Cairo Station,Youssef Chahine,"Farid Shawqy, Hind Rostom, Youssef Chahine, Hassan el Baroudi, Abdel Aziz Khalil, Naima Wasfy, Said Khalil, Abdel Ghani Nagdi",Egypt,2020-06-18,1958,TV-14,73 min,"Classic Movies, Dramas, International Movies",A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.,2020.0,6.0
2369,s2370,Movie,Dark Waters,Youssef Chahine,"Faten Hamama, Omar Sharif, Ahmed Ramzy, Hussein Riad, Ferdoos Mohammed, Aziza Helmy, Tawfik El Deken",Egypt,2020-06-18,1956,TV-14,104 min,"Classic Movies, Dramas, International Movies","A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling.",2020.0,6.0
2373,s2374,Movie,Saladin,Youssef Chahine,"Ahmad Mazhar, Salah Zo El Faqqar, Nadia Lotfi, Hamdy Gheith, Laila Fawzy, Omar El-Hariri, Laila Taher, Hussein Riad, Mahmoud El Meleigy, Zaki Tolaimat",Egypt,2020-06-18,1963,TV-MA,194 min,"Action & Adventure, Classic Movies, Dramas",The Sultan of Egypt and Syria launches a campaign to retake Jerusalem amid the Crusades.,2020.0,6.0
2375,s2376,Movie,The Blazing Sun,Youssef Chahine,"Omar Sharif, Faten Hamama, Zaki Rostom, Farid Shawqy, Abdel-Wareth Asar, Menassa Fahmy, Abdelghany Kamar, Hamdy Gheith, Mohsen Hassanein, Rafeaa El Shal",Egypt,2020-06-18,1954,TV-14,116 min,"Classic Movies, Dramas, International Movies",Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.,2020.0,6.0
2376,s2377,Movie,The Land,Youssef Chahine,"Hamdy Ahmed, Nagwa Ibrahim, Ezzat El Alaili, Tawfik El Deken, Yehia Chahine, Mahmoud El Meleigy, Salah El-Saadany, Ali El Sherif",Egypt,2020-06-18,1970,TV-MA,130 min,"Classic Movies, Dramas, International Movies",A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.,2020.0,6.0
2403,s2404,Movie,Menahi,Ayman Makram,"Fayez Al-Malki, Mona Wasef, Abdel Imam Abdullah, Reem Abdel Aziz, Dana Jabr, Emad Al Youssef, Remas Mansoor, Khalid Mengah",Saudi Arabia,2020-06-11,2008,TV-14,101 min,"Comedies, International Movies","A stranger to civilian life, a young Saudi farmer travels to Dubai, where he experiences a series of hilarious misadventures.",2020.0,6.0
2418,s2419,Movie,Before the Summer Crowds,Mohamed Khan,"Maged El Kedwany, Hana Shiha, Ahmed Dawood, Lana Mushtak, Hany El Metennawy",Egypt,2020-06-05,2016,TV-14,86 min,"Dramas, International Movies","Ahead of summer break, a couple heads to a seaside resort where intimate interactions with other villagers make for anything but a peaceful holiday.",2020.0,6.0
2429,s2430,Movie,Can’t Complain,Ahmed Nader Galal,"Ahmed Helmy, Menna Shalaby, Khaled El Sawy, Lotfy Labib",Egypt,2020-06-03,2007,TV-MA,114 min,"Comedies, International Movies, Romantic Movies","Raised by a father to fraudulently act as one person, three identical brothers end up pining for the same woman as one triplet seeks psychiatric help.",2020.0,6.0
2433,s2434,Movie,Andaleeb El Dokki,Wael Ehsan,"Mohamed Henedi, Heba Nour, Dawood Hussain, Amr Abdel-Geleel, Mohammed El Sadaany, Mohamed Sherif Hassan",Egypt,2020-06-02,2008,TV-14,106 min,"Comedies, International Movies","Aiming for fame, a struggling singer finds his long-lost millionaire twin and falls for his brother's secretary as a plot brews to steal the fortune.",2020.0,6.0
2434,s2435,Movie,Let's Dance,Inas El-Degheidy,"Yousra, Tamer Hagras, Ezzat Abou Aouf, Hala Sedki, Marwan Azab",Egypt,2020-06-02,2006,TV-14,116 min,"Comedies, Dramas, International Movies","Disillusioned with her humdrum routine, a married lawyer secretly enrolls in a dance school in this remake of the 1996 Japanese film “Shall We Dance?”",2020.0,6.0
2435,s2436,Movie,Life's Speed Bump,Wael Ehsan,"Ahmed Helmy, Nour, Ezzat Abou Aouf, Ahmed Rateb, Ahmed Saeed Abdel-Ghany, Menna Arafa",Egypt,2020-06-02,2006,TV-14,109 min,"Comedies, International Movies","Seeking job opportunities, a young man arrives in Cairo and becomes increasingly involved with the family of a wealthy businessman.",2020.0,6.0
2437,s2438,Movie,My Horrible Grandma,Sameh Abdulaziz,"Shaimaa Abdelkader, Samiha Ayyoub, Fify El Sebaay, Emy Samir Ghanim, Mohamed Henedi, Bassem Samra",Egypt,2020-06-02,2012,TV-MA,100 min,"Comedies, Dramas, International Movies","As a man fumbles to keep things in order, his assertive grandmother tries to straighten out his life when she returns to live with him.",2020.0,6.0
2438,s2439,Movie,Sorry To Disturb,Khaled Marei,"Ahmed Helmy, Mahmoud Hemeida, Menna Shalaby, Dalal Abdelaziz, Mohamed Sharaf, Tarek El Tilmisany, Mohammed El Sadaany, Samy Maghawry, Ahmed Fouad Selim, Ahmed Ramah",Egypt,2020-06-02,2008,TV-14,116 min,"Dramas, International Movies","After losing his father, a genius yet troubled aviation engineer suffering from loneliness tackles a complex project: love.",2020.0,6.0
2439,s2440,Movie,The Student Cop,Wael Ihsan,"Karim Abdel Aziz, Hassan Hosny, Ghada Adel, Maha Ahmed, Ramez Galal, Mohamed Ragab, Mohamed El Dafrawy",Egypt,2020-06-02,2004,TV-14,111 min,"Action & Adventure, Comedies, International Movies","Sent undercover to investigate suspicious activity among a group of college students, a police officer gets more invested in his role than expected.",2020.0,6.0
2442,s2443,Movie,X Large,Sherif Arafa,"Ahmed Helmy, Donia Samir Ghanim, Ibrahim Nasr, Yasmin Raeis, Saeed Tarabeek",Egypt,2020-06-02,2011,TV-14,135 min,"Comedies, International Movies, Romantic Movies","After he is rejected by the woman he loves and obesity-related issues kill his uncle, a lonely, overweight artist undergoes a major transformation.",2020.0,6.0
2443,s2444,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,2020-06-01,2019,TV-MA,95 min,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",2020.0,6.0
2487,s2488,Movie,No Longer kids,Samir Al Asfory,"Said Saleh, Hassan Moustafa, Ahmed Zaki, Younes Shalabi, Nadia Shukri, Karima Mokhtar",Egypt,2020-05-21,1979,TV-14,237 min,"Comedies, Dramas, International Movies","Hoping to prevent their father from skipping town with his mistress, four rowdy siblings resort to absurd measures to stop him.",2020.0,5.0
2490,s2491,Movie,The Married Couples,Hassan AbdulSalam,"Samir Ghanem, George Sidhum, Sherine, Nagah El-Mogui",Egypt,2020-05-21,1981,TV-14,195 min,"Comedies, International Movies, Romantic Movies","Hailing from different classes, a young man and his wife try to find their version of happily married when both yearn to leave their old lives behind.",2020.0,5.0
2491,s2492,Movie,The School of Mischief,Houssam El-Din Mustafa,"Suhair El-Babili, Adel Emam, Saeed Saleh, Younes Shalabi, Hadi El-Gayyar, Ahmad Zaki, Hassan Moustafa",Egypt,2020-05-21,1973,TV-14,253 min,"Comedies, Dramas, International Movies",A high school teacher volunteers to transform five notorious misfits into model students — and has unintended results.,2020.0,5.0
2492,s2493,Movie,The Witness Who Didn't See Anything,"Muhammad Fadl, Hany Motawie","Adel Imam, Nahed Gabr, Omar El-Hariri, Nazim Sharawy, Badr Nofal, Saeed Tarabeek, Hala Fakher, Samir Waley Eldein, Sami Gawhar, Shawqi Shamekh, Nasr Seif",Egypt,2020-05-21,1976,TV-PG,157 min,"Comedies, International Movies","Pressured by cops into testifying as an eyewitness to a neighbor's murder, a children's TV host takes on a new persona after the trial.",2020.0,5.0
2501,s2502,Movie,Either Me Or My Auntie,Saeed Hamed,"Mohamed Henedi, Donia Samir Ghanim, Hassan Hosny, Fadia Abdel Ghany, Alaa Morsy, Lotfy Labib, Nabil Issa, Hatem Jamel, Alaa Zinhom, Hala Sarhan",Egypt,2020-05-19,2006,TV-PG,105 min,"Comedies, International Movies","A musician's marriage proposal to his girlfriend is denied by her mother, whose affinity for magic begins to meddle in their relationship even more.",2020.0,5.0
2502,s2503,Movie,Escaping Tel Aviv,Sherif Arafa,"Karim Abdel Aziz, Mona Zaki, Sherif Mounir, Entsar, Salem Klass, Sabri Abdulmonem, Kinda Alloush, Yasser Ali Maher, Kamal Suliman, Jerjes Jbara",Egypt,2020-05-19,2009,TV-14,120 min,"Action & Adventure, International Movies","After her husband reveals he's an undercover Mossad agent, an Egyptian woman and their children are taken to Israel, prompting an urgent rescue mission.",2020.0,5.0
2503,s2504,Movie,Game Over,Ahmed Al-Badry,"Yousra, Mai Ezz El-Din, Ezzat Abou Aouf, Mohamed Nour",Egypt,2020-05-19,2012,TV-14,96 min,"Comedies, International Movies, Romantic Movies",A woman ends up working at the same nightclub as her son’s girlfriend — who she doesn’t like — and tries to break up their relationship.,2020.0,5.0
2504,s2505,Movie,Karkar,Ali Ragab,"Mohamed Saad, Hassan Hosny, Ragaa Al-Geddawy, Yasmin Abdulaziz, Alaa Morsy",Egypt,2020-05-19,2007,TV-14,107 min,"Comedies, International Movies","After electrocution leaves a wealthy man brain-damaged, his money-hungry aunt and uncle try to con him by marrying him off to a fake relative.",2020.0,5.0
2505,s2506,Movie,My Sleeping Lover,Ahmad El-Badri,"Mai Ezz El-Din, Khaled Abol Naga, Hassan Hosny, Marwa Abdel Monem, Moustafa Haridy, Nahla Zaki, Ezzat Abou Aouf, Reda Hamed, Muhammad Qishta",Egypt,2020-05-19,2008,TV-PG,93 min,"Comedies, International Movies","After undergoing hypnosis, Ramez finally meets the woman of his dreams — but his vision of her appearance doesn't quite match up with reality.",2020.0,5.0
2506,s2507,Movie,Omar & Salma 2,Ahmad El-Badri,"Tamer Hosny, Mai Ezz El-Din, Ezzat Abou Aouf, Marwa Abdel Monem, Hussien Elgohary, Mirhan, Maysara",Egypt,2020-05-19,2009,TV-14,101 min,"Comedies, International Movies","Now parents, Omar and Salma hit some obstacles while raising their two children and staying in love after the honeymoon ends.",2020.0,5.0
2509,s2510,Movie,Tarek's Situation,Wael Ehsan,"Ahmed Helmy, Nour, Majdi Kamel, Khaled El Sawy, Mais Hamdan, Moataza Abdel Sabour, Youssef Dawood, Youssef Fawzy, Mohamed Sharaf, Osama Munir",Egypt,2020-05-19,2006,TV-14,110 min,"Comedies, International Movies, Romantic Movies","Asked by his boss to share a woman's personal information, a mobile phone sales rep falls in love with the target whose data he's stealing.",2020.0,5.0
2510,s2511,Movie,The Beach Loafer,Ali Ragab,"Ahmed Helmy, Yasmin Abdulaziz, Mahmoud Abdel Moghny, Lotfy Labib, Soad Nasr, Rico, Ahmed Rateb, Youssef Eid",Egypt,2020-05-19,2004,TV-14,112 min,"Comedies, International Movies","A wedding singer and his friends try to prove his innocence after he's accused of murder, a situation threatening his own marriage plans.",2020.0,5.0
2512,s2513,Movie,Zaki Chan,Wael Ihsan,"Ahmed Helmy, Yasmin Abdulaziz, Hassan Hosny, Hasan Kami",Egypt,2020-05-19,2005,TV-PG,109 min,"Comedies, International Movies, Romantic Movies",An unqualified young man has his work cut out for him when he is hired as a rich girl’s bodyguard to keep her from the boyfriend her dad disapproves of.,2020.0,5.0
2614,s2615,Movie,Boushkash,"Ahmed Yousry, Hazem Fouda","Mohamed Saad, Zeina, Ezzat Abou Aouf, Edward, Hassan Hosny, Ahmed Rateb, Hamdi el Sakhawy, Safaa El-Toukhy",Egypt,2020-04-28,2008,TV-MA,100 min,"Comedies, International Movies",A former goalkeeper-turned-talent scout embarks on a mischievous adventure to recruit players for Egyptian football clubs.,2020.0,4.0
2623,s2624,Movie,We'll Be Right Back After The Break,Ahmed Nader Galal,"Karim Abdel Aziz, Dina Fouad, Mohamed Lotfy, Ahmed Rateb, Rasha Amin, Youssef Eid, Mostafa Abbas, Maged El Kedwany, Sabri Abdulmonem, Abdalah Mishrif",Egypt,2020-04-28,2012,TV-14,106 min,"Action & Adventure, Comedies, International Movies","While fighting a child custody battle against his father-in-law, a taxi driver loses his memory when his son is kidnapped.",2020.0,4.0
2630,s2631,Movie,Bittersweet,Khaled Marei,"Ahmed Helmy, Lotfy Labib, Edward, Enaam Salousa",Egypt,2020-04-25,2010,TV-MA,132 min,"Comedies, Dramas, International Movies","After 20 years abroad, a photographer returns to his birth country of Egypt and gets stranded without identification in a now unfamiliar culture.",2020.0,4.0
2633,s2634,Movie,She Made Me a Criminal,Amr Arafa,"Ahmed Helmy, Ghada Adel, Hassan Hosny, Riham Abdel Ghafour, Edward, Abdullah Moshref, Youssef Eid, Mohamed Sharaf",Egypt,2020-04-25,2006,TV-14,105 min,"Comedies, International Movies","In order to get her trust fund money from her wealthy but miserly father, a woman enlists a naive young man to help fake her own kidnapping.",2020.0,4.0
2635,s2636,Movie,The Dealer,Ahmed Saleh,"Ahmed El Sakka, Khaled El Nabawy, Mai Selim, Nedal El Shafey, Boris Abramov, Selami Şahin",Egypt,2020-04-25,2010,TV-14,124 min,"Action & Adventure, International Movies","Separated by distance and circumstance, two bitter rivals cross paths when the perils of the drug trade unexpectedly unite them.",2020.0,4.0
2636,s2637,Movie,The International Player,Ahmed Medhat,"Youssef El Sherif, Arwa Gouda, Salah Abdullah, Mohamed Lotfy, Dalal Abdel Aziz, Rahmah Hasan",Egypt,2020-04-25,2009,TV-14,93 min,"Dramas, International Movies, Sports Movies","A footballer for a local club aspires to join the big leagues then gets his shot at going pro, fueling his team's rise to victory.",2020.0,4.0
