,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added
2637,s2638,Movie,The Promise,Mohamed Yassin,"Asser Yassin, Ruby, Ghassan Massoud, Bassem Samra, Ahmed Azmy",Egypt,2020-04-25,2008,TV-14,110 min,"Dramas, International Movies","When his powerful crime czar boss kills the man he considered a mentor, a young gangster on the rise goes to war in order to get revenge.",2020.0,4.0
2638,s2639,Movie,الف مبروك,Ahmed Nader Galal,"Ahmed Helmy, Laila Ezz El Arab, Mahmoud El Fishawy, Mohamed Farraag, Sarrah Abdelrahman, Rahma Hassan, Amir Salah, Hany El Sabagh",Egypt,2020-04-25,2009,TV-14,115 min,"Comedies, Dramas, International Movies","On his wedding day, an arrogant, greedy accountant experiences a series of calamities that keep replaying as he lives the same day over and over again.",2020.0,4.0
2800,s2801,Movie,Masameer - The Movie,Malik Nejer,"Malik Nejer, Shahad Alahmari, Abdulaziz Almuzaini, Yousef Aldakheel",Saudi Arabia,2020-03-19,2020,TV-14,100 min,"Comedies, International Movies",A young girl passionate about AI sets out to make an impact as three friends become crime-fighting superheroes. Based on the hit animated web series.,2020.0,3.0
2877,s2878,TV Show,Six Windows in the Desert,"Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer","Moayad Alnefaie, Mohammed Alhamdan, Citi Bet Baydi, Sadeem Alshehri, Mohammed Albakri, Moayed Althagafi, Hussain Alyahya, Abeer Alotaibi, Zara Albalushi, Ali Alshehabi",Saudi Arabia,2020-02-27,2020,TV-14,1 Season,TV Shows,"From a theatre play to the aftermath of a plane crash, this collection of shorts from Saudi filmmakers depicts the nuances of Saudi Arabian culture.",2020.0,2.0
3159,s3160,Movie,Good and Prosperous,Sameh Abdulaziz,"Ali Rabee, Mohamed Abdel-Rahman, Bayoumi Fouad, Karim Afifi, Dalal Abdel Aziz, Mai Selim, Tara Emad, Mohammed Tharwat, Haifa Wehbe, Ahmed Adel",Egypt,2019-12-10,2017,TV-14,101 min,"Comedies, International Movies","As two jobless brothers search aimlessly for careers worthy of their hard-to-please mother’s praise, they cluelessly tackle countless gigs.",2019.0,12.0
4022,s4023,TV Show,More to Say,missing,"Yousra, Naglaa Badr, Sherine Reda, Ahmed Hatem, Hesham Selim, Ingi Abou Zeid, Farouk El Fishawy, Mahmoud Fares, Tayam Amar, Heba Abdelaziz, Heba Abdelghany, Mariam El Khosht",Egypt,2019-03-13,2018,TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries","After her son dies in an accident, a legal consultant is forced to prove her innocence when she's accused of his murder.",2019.0,3.0
4023,s4024,TV Show,The Land of Hypocrisy,missing,"Mohamed Henedy, Dalal Abdel Aziz, Hana Shiha, Mohammed Tharwat, Salwa Mohammed, Mohammed Hafiz, Ibrahim Issa, Leila Ezz Al Arab, Mohammed Mahmoud",Egypt,2019-03-13,2018,TV-14,1 Season,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy",A hardworking man in a thankless job meets a mysterious doctor who sells him powerful pills that throw his life into disarray.,2019.0,3.0
4026,s4027,TV Show,Eugenie Nights,missing,"Ameena Khalil, Zafer Abdeen, Injy El Mokkaddem, Khaled Kamal, Cherif Hafez, Carmen Bsaibes, Mourad Makram, Leila Ezz Al Arab, Asmaa Abou El Yazeed, Nadine Nassib Njeim",Egypt,2019-03-11,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","In 1940s Port Said, Kariman finds comfort and solace in the arms of an unhappily married man, who also happens to be her abusive husband's brother.",2019.0,3.0
4027,s4028,TV Show,This Evening,missing,"Eyad Nassar, Ahmed Dawood, Mohamed Farraag, Hanan Motawie, Arwa Gouda, Bassel Alzaro",Egypt,2019-03-11,2017,TV-14,1 Season,"International TV Shows, TV Dramas",The lives of a wealthy couple hiding their marital problems intersect with a group of hackers and the young women they exploit.,2019.0,3.0
4030,s4031,TV Show,Disappearance,missing,"Nelly Karim, Mohamed Mamdouh, Hesham Selim",Egypt,2019-03-08,2018,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A university lecturer in Russia returns to Egypt after her husband's sudden disappearance, uncovering further mysteries the more she investigates.",2019.0,3.0
4125,s4126,TV Show,The Last of the Schmucks,missing,"Chico, Ahmed Mekky, Hesham Maged, Bayoumi Fouad, Dina El-Sherbiny",Egypt,2019-02-07,2017,TV-MA,1 Season,"International TV Shows, TV Comedies","The year is 2041 and a dispute between a man and his wife has set the human race back. In this battle of the sexes, the primitive life isn't so simple.",2019.0,2.0
4126,s4127,TV Show,Hidden Worlds,missing,"Adel Imam, Salah Abdallah, Hiba Majdi, Bushra, Fathy Abdel Wehab, Rania Farid Shawki, Ahmad Wafiq",Egypt,2019-02-05,2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","While investigating an actress’s supposed suicide and her connection to the mafia, a veteran journalist discovers that corruption runs deep.",2019.0,2.0
4130,s4131,TV Show,Tayee,missing,"Amr Youssef, Amr Abdel Guelil, Saba Mubarak",Egypt,2019-02-05,2018,TV-MA,1 Season,"International TV Shows, TV Dramas",An Egyptian doctor becomes a police informant and uses his rare gift of tracking ancient artifacts in the smuggling business.,2019.0,2.0
4984,s4985,TV Show,Secret of the Nile,missing,"Amr Youssef, Dina El-Sherbiny, Anoushka, Amina Khalil, Nada Mousa, Sawsan Badr, Ahmed Dawood",Egypt,2018-03-15,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","When his sister disappears while working at the Grand Hotel, a man joins the staff to get answers. Inside its posh walls, he finds love and intrigue.",2018.0,3.0
5228,s5229,Movie,Barakah Meets Barakah,Mahmoud Sabbagh,"Hisham Fageeh, Fatima Al-Banawi, Sami Hifny, Khairia Nazmi, Abdulmajeed Al-Ruhaidi",Saudi Arabia,2017-10-12,2016,TV-MA,88 min,"Comedies, International Movies, Romantic Movies",A laid-back civil servant and wealthy video blogger struggle to make it as a modern couple amid strict Saudi social conventions.,2017.0,10.0
6011,s6012,Movie,30 Days of Luxury,Hani Hamdi,"Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar",Egypt,2019-04-18,2016,TV-14,91 min,"Comedies, International Movies","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.",2019.0,4.0
6077,s6078,Movie,Abdo Mota,missing,Mohamed Ramadan,Egypt,2019-04-19,2012,TV-MA,100 min,"Action & Adventure, Dramas, International Movies","Following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime.",2019.0,4.0
6108,s6109,Movie,Alarmoty in the Land of Fire,missing,missing,Egypt,2019-08-05,2017,TV-MA,94 min,"Comedies, International Movies","While vacationing at a resort, an ornery and outspoken man is held captive by a criminal organization.",2019.0,8.0
6131,s6132,Movie,Amar's Hands,Khaled Youssef,"Ghadah Abdulrazeq, Wafaa Amer, Hassan El Raddad, Houria Farghally, Sabry Fawwaz",Egypt,2019-04-26,2011,TV-14,125 min,"Dramas, International Movies","To fulfill her husband’s dream to build a home, a widow sends her five children to earn money in Cairo, where their poverty tests them at every turn.",2019.0,4.0
6155,s6156,Movie,An Hour and a Half,Wael Ehsan,"Eyad Nassar, Ahmed Bedir, Fathy Abdel Wahab, Sawsan Badr, Maged El Kedwany, Tarek Abdel Aziz, Karima Mokhtar, Yousra El Lozy, Somaya El Khashab, Mohamed Emam",Egypt,2019-04-26,2012,TV-14,87 min,"Dramas, International Movies","Based on the 2002 El Ayyat train accident, this drama begins 90 minutes before the explosion, following the lives of riders in the third-class cars.",2019.0,4.0
6158,s6159,Movie,An Upper Egyptian,"Ismail Farouk, Hazem Fouda","Mohamed Ramadan, Randa El Behery, Nermin Maher, Inas El Naggar, Mayar El Gheity, Hassan Abdulfattah, Sabri Abdulmonem, Alaa Zenhom, Abdalah Mishrif, Mohamed Soliman",Egypt,2019-06-20,2014,TV-MA,85 min,"Comedies, Dramas, International Movies","Eager to settle down, Abdullah searches for the right woman to marry – but the one he truly longs for may not feel the same way.",2019.0,6.0
6172,s6173,Movie,Antar: Son of Shadad,Sherif Ismail,"Mohamed Henedi, Bassem Samra, Dorra Zarrouk, Lotfy Labib",Egypt,2019-05-09,2017,TV-MA,110 min,"Comedies, International Movies","Learning he is the grandson of a famous knight, a young man hilariously fights a rival gang to win over the most beautiful woman in the tribe.",2019.0,5.0
6183,s6184,Movie,Are We Done Yet?,Khaled El Halafawy,"Ahmed Eid, Ayten Amer, Ahmed Fouad Selim, Mohsen Mansour",Egypt,2019-08-01,2018,TV-14,87 min,"Comedies, Dramas, International Movies","When authorities arrest his young son, a taxi driver must convince the courts and rabid media that he's not the criminal they seek.",2019.0,8.0
6269,s6270,Movie,Because We're Heading Out,Khaled El Halafawy,"Hassan El Raddad, Emy Samir Ghanim, Bayyumi Fuad, Taher Abu Lela, Nesreen Ameen, Mourad Makram, Diaa El-Merghani, Juditta Salem-Wolff",Egypt,2019-04-18,2016,TV-14,99 min,"Comedies, International Movies",Trouble and high jinks ensue when a man and woman stumble on a bag full of money while out on the town.,2019.0,4.0
6290,s6291,Movie,Bewildered Bolbol,Khaled Marei,"Ahmed Helmy, Zeina, Shery Adel, Emy Samir Ghanim, Yousef Fawzy, Yasser El Tobgy, Wael Sami, Maryam Saleh",Egypt,2019-06-20,2010,TV-14,112 min,"Comedies, International Movies, Romantic Movies",A man suffering from amnesia can't seem to choose between the women playing tricks on him.,2019.0,6.0
6596,s6597,Movie,Detention Letter,Mohamed Samy,"Mohamed Ramadan, Dina El-Sherbiny, Eyad Nassar, Sayed Rajab, Walid Fawaz, Eman El-Assy",Egypt,2019-08-05,2017,TV-14,99 min,"Action & Adventure, International Movies",A man begins to regret his choices when his brother decides to join him as a member of the same terrorist organization.,2019.0,8.0
6740,s6741,Movie,Farce,Shadi Ali,"Ahmed Fathy, Bayoumi Fouad, Sami Maghouri, Mohammed Tharwat, Mohamed Salam, Haya Ibrahim, Mohsen Mansour",Egypt,2019-06-06,2017,TV-MA,94 min,"Comedies, International Movies","A beauty expert, a drug dealer and a bungling revolutionary end up in the grips of an extremist group after meeting on a plane to Lebanon.",2019.0,6.0
6768,s6769,Movie,Flimflam,Khaled Marei,"Ahmed Helmy, Donia Samir Ghanim, Sabrine, Bayyumi Fuad, Jamila Adel Awad, Bea, Yasser El Tobgy, Enaam Salousa",Egypt,2019-06-13,2016,TV-14,102 min,"Comedies, International Movies","Nosy family in tow, a fun-loving bachelor goes on a romantic getaway, but he ends up pretending to be married to a complete stranger to avoid trouble.",2019.0,6.0
6800,s6801,Movie,Freezer's Campaign,Sameh Abdulaziz,"Bayyumi Fuad, Chico, Hesham Maged, Ahmed Fathy, Nesreen Ameen, Dareen Haddad, Bushra, Samy Maghawry",Egypt,2019-06-06,2016,TV-MA,116 min,"Comedies, International Movies","When climate change makes Egypt freeze over, intelligence officers pose as a film crew on location to seek a device that can eliminate the frost.",2019.0,6.0
6807,s6808,Movie,From Japan to Egypt,Mahmoud Karim,"Ahmed Eid, Saki Tsukamoto, Nada Moussa, Mohammed Tharwat",Egypt,2019-06-06,2017,TV-14,93 min,"Children & Family Movies, Comedies, Dramas","After his wife relocates to her home country of Japan, an Egyptian man – and father of two rambunctious kids – tries to win her back.",2019.0,6.0
6877,s6878,Movie,Good Luck,Tarek Abdel Moaty,"Ahmed Eid, May Kassab, Diaa El Merghany, Samy Maghawry, Badria Tolba, Hassan Abdulfattah, Ahmed Safwat, Sayed Sadek, Laila Gamal",Egypt,2019-06-21,2012,TV-MA,99 min,"Dramas, International Movies","Seeking an apartment to share with his wife, an apolitical man starts to question his own modest goals as revolution swirls around him.",2019.0,6.0
6914,s6915,Movie,Hamza's Suitcase,Akram Farouk,"Hamada Helal, Yousra El Lozy, Ahmed Fathy, Mohammed Tharwat, Samia Trabelsi, Diaa El-Merghani, Abdalah Mishrif, Mohamed Metwalli, Samy Maghawry, Bayoumi Fouad, Inas al-Najjar, Taher Abu Lela",Egypt,2019-05-02,2017,TV-14,79 min,"Comedies, International Movies","When a con man tries to retrieve a bag of money, he swoons for a woman with ties to a notorious crew of criminals.",2019.0,5.0
7106,s7107,Movie,"It's Okay, Buddy",Hani Hamdi,"Mahmood El-Laithi, Saad El Soghayar, Nermin Maher, Safinaz",Egypt,2019-06-06,2017,TV-14,84 min,"Comedies, International Movies, Music & Musicals",Two down-on-their-luck singers set out to marry wealthy women – but not everyone is happy to have them climb the social ladder.,2019.0,6.0
7309,s7310,Movie,Lion's Heart,Karim El Sobky,"Mohamed Ramadan, Hassan Hosny, Horeya Farghaly, Sayed Rajab, Aida Reyad, Omar Mustafa Metwally, Riham Ayman, Mohsen Mansour, Afaf Rashad, Maher Essam, Sabry Fawwaz, Hamdy Heykal, Sabry Abdel Moniem",Egypt,2019-05-09,2013,TV-14,111 min,"Action & Adventure, International Movies","Kidnapped as a child and raised in the circus, a young lion tamer’s tough side emerges when he gets entangled in an underworld murder mystery.",2019.0,5.0
7351,s7352,Movie,Love Station,Ahmad Samir Farag,"Menna Shalaby, Sherif Salama, Yousra El Lozy, Mona Hala, Edward Fouad, Lotfy Labib, Ashraf Hamdy",Egypt,2019-04-25,2011,TV-14,97 min,"Comedies, International Movies, Romantic Movies","Single coworkers at a radio station are brought together by mutual friends, but their starry-eyed notions about love may scuttle their romance.",2019.0,4.0
7425,s7426,Movie,May You Prosper,"Hassan Hegazy, Shady Ali","Ahmed Rizk, Bosy, Bayoumi Fouad, Mahmoud Ellithy, Hayatem, Hesham Ismail, Tamer Shaltout, Alaa Morsy",Egypt,2019-07-20,2017,TV-14,93 min,"Comedies, International Movies, Music & Musicals","A man's inability to conquer his personal insecurities and distrust of other people leads to problems with his on-again, off-again wife and their son.",2019.0,7.0
7487,s7488,Movie,Monopoly (The Bank Of Luck),Ahmed El Gendy,"Mohamed Mamdouh, Mohammed Tharwat, Akram Hosny",Egypt,2019-06-15,2017,TV-MA,117 min,"Comedies, International Movies","Seeking revenge on his employer, a lazy bank agent and his two dim-witted friends concoct an elaborate but flawed heist.",2019.0,6.0
7522,s7523,Movie,Ms. Mammy,Wael Ihsan,"Yasmin Abdulaziz, Hassan El Raddad, Ahmed Fouad Selim, Entessar, Hesham Ismail, Badria Tolba, Ghassan Mattar, Eman El-Sayed, Saad El Soghayar, Soleiman Eid, Youssef Eid, Hassan Abdulfattah, Mohamed Lotfy, Hala Fakher",Egypt,2019-06-06,2012,TV-14,90 min,"Comedies, International Movies",A successful advertising agency executive falls asleep on an airplane and wakes up in an alternate universe as a stay-at-home mom with three kids.,2019.0,6.0
7534,s7535,Movie,My Dog is My Guide,Ismail Farouk,"Sameh Hussain, Hasan Abdulfattah, Sulayman Id, Ayten Amer, Hassan Hosny",Egypt,2019-04-18,2013,TV-14,99 min,"Comedies, International Movies","Relocated to a new post and struggling to adjust, a police officer further complicates his life by falling for a woman he has little in common with.",2019.0,4.0
7650,s7651,Movie,Omar and Salma 3,Mohamed Samy,"Tamer Hosny, Mai Ezzidine, Ezzat Abou Aouf, Lamitta Frangieh",Egypt,2019-04-25,2012,TV-MA,97 min,"Comedies, International Movies, Romantic Movies","In this second sequel of the trilogy, marital strife brews as Omar pursues a music career despite Salma’s wishes that he opt for a more stable job.",2019.0,4.0
7836,s7837,Movie,Reaction,Husam El-Gohari,"Mahmoud Abdel Moghny, Amr Youssef, Horeya Farghaly, Mahmoud El Gendy, Entessar, Donia El Masry, Sabry Abdel Moniem, Raouf Mustafa, Alaa Zenhom",Egypt,2019-06-20,2011,TV-14,99 min,"Dramas, International Movies","When a series of seemingly random people are murdered, baffled police search for a killer who may have a connection to them all.",2019.0,6.0
7849,s7850,Movie,Regatta,Mohamed Samy,"Amr Saad, Ilham Shaheen, Rania Yousef",Egypt,2019-05-09,2015,TV-MA,100 min,"Action & Adventure, Dramas, International Movies",Inside one of Cairo's most impoverished areas exists a place where criminals control everything and everyone.,2019.0,5.0
7885,s7886,Movie,Roh's Beauty,Sameh Abdulaziz,"Haifa Wehbe, Bassem Samra, Mohamed Lotfy, Ahmed Fathy, Nagua Fouad, Ahlam Al-Gritly, Karim El Abnoudi, Salah Abdullah, Hakim, Usha",Egypt,2019-04-19,2014,TV-MA,98 min,"Dramas, International Movies","Hoping to earn money to support her son, a single mother sings in a nightclub, where danger lurks around every corner.",2019.0,4.0
7924,s7925,Movie,Salem: His Sister's Father,Mohamed Hamdy,"Mohamed Ragab, Horeya Farghaly, Ayten Amer, Mohamed Al Shakankeery, Reem Al Baroudi, Badria Tolba, Hesham Ismail, Maher Essam, Hassan Abdulfattah, Aliaa Al-Husseini",Egypt,2019-06-22,2014,TV-14,99 min,"Dramas, International Movies","A street vendor's simple life is turned upside down after the Egyptian revolution of 2011, forcing him to contend with criminals and cops alike.",2019.0,6.0
7927,s7928,Movie,Sameer Abu Alneel,Amr Arafa,"Ahmed Mekky, Nicole Saba, Mohamed Lotfy, Hussien El Imam, Dina El-Sherbiny, Said Tarabeek, Alaa Morsy, Edward Fouad, Abdalah Mishrif, Youssef Eid",Egypt,2019-06-06,2013,TV-14,107 min,"Comedies, International Movies","Disliked for his stinginess, Samir finds his life turned upside down when he receives a windfall and launches a television channel.",2019.0,6.0
7947,s7948,Movie,Savage Raghda,Mahmoud Karim,"Ramez Galal, Riham Hagag, Bayyumi Fuad, Entessar, Ahmed Fathy, Mohammed Tharwat",Egypt,2019-06-13,2018,TV-MA,93 min,"Comedies, International Movies, Romantic Movies","Desperate to support his son, a single father uses his talent with makeup to dress up as a woman to try out for a part in a commercial.",2019.0,6.0
8088,s8089,Movie,Step Outside,Wael Ihsan,"Kareem Mahmoud Abdel Aziz, Khaled El Sawy, Ahmed Fathy, Malak Koura, Ashraf Abdel Baqi",Egypt,2019-06-06,2018,TV-14,89 min,"Comedies, International Movies","A down-on-his-luck man reads a book, only to have its characters materialize and take over his life.",2019.0,6.0
8153,s8154,Movie,Tattah,Sameh Abdulaziz,"Mohamed Saad, Dolly Shahin, Marwa, Hayatem, Sayed Rajab, Omar Mustafa Metwally, Samy Maghawry, Nabil Issa, Ragaa Al-Geddawy, Samir Ghanem",Egypt,2019-05-09,2013,TV-14,112 min,"Comedies, International Movies",A down-on-his-luck man must prove he's not as hapless as he seems when the woman he's on a date with is suddenly kidnapped.,2019.0,5.0
8192,s8193,Movie,The Ant's Scream,Sameh Abdulaziz,"Amr Abdel-Geleel, Rania Yousef, Salloum Haddad, Hesham Al-Meligy, Farida Al-Gready, Ahmad Wafiq, Mohamed Abo El Hassan, Amr Sakr, Ahmed Gamal Saeed, Riham Ayman",Egypt,2019-06-13,2010,TV-14,108 min,"Comedies, Dramas, International Movies","Released after being wrongly imprisoned in Iraq, an Egyptian contractor returns home to a country on the brink of revolution.",2019.0,6.0
8240,s8241,Movie,The Cell,Tarek Al Eryan,"Ahmed Ezz, Mohamed Mamdouh, Samer al Masri, Amina Khalil, Ahmed Safwat, Ahmed Salah Hosny, Aïcha Ben Ahmed, Rania Elkhatib, Riham Abdel Ghafour",Egypt,2019-06-13,2017,TV-MA,126 min,"Action & Adventure, Dramas, International Movies",A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.,2019.0,6.0
8244,s8245,Movie,The Chord,Magdy Al-Hawwary,"Mostafa Shaban, Ghada Adel, Arwa Gouda, Ahmed Salah Al-Saadany, Ashraf Zaki, Sawsan Badr, Fatma Nasser, Said Saleh, Ali Hassanein, Majed Abdulazim",Egypt,2019-06-20,2010,TV-MA,101 min,"Dramas, International Movies, Music & Musicals","A detective investigates the murder of a young musician, whose philandering lifestyle leaves a long list of suspects and a lot of questions.",2019.0,6.0
8255,s8256,Movie,The Consul's Son,Amr Arafa,"Khaled Saleh, Ghada Adel, Ahmed el-Sakka, Khaled Sarhan, Sawsan Badr, Mustafa Haridi",Egypt,2019-04-25,2011,TV-14,114 min,"Comedies, International Movies, Thrillers",A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.,2019.0,4.0
8460,s8461,Movie,The Player,Ahmad El-Badri,"Ramez Galal, Emy Samir Ghanim, Edward Fouad, Hassan Hosny, Yousef Fawzy, Samar Gaber, Ragaa Al-Geddawy, Maha Abou Ouf, Mai El-Kady",Egypt,2019-06-20,2012,TV-MA,110 min,"Comedies, International Movies","To save his father’s company from bankruptcy, a rich, spoiled playboy is forced to wed a no-nonsense woman, who's just as unhappy to be marrying him.",2019.0,6.0
8485,s8486,Movie,The Right One,Hadi El Bagoury,"Hani Salama, Basma Ahmad, Rania Yousef, Kinda Allouch, Yasmin Raeis, Amr Youssef, Zizi El-Badrawy",Egypt,2019-06-13,2011,TV-14,93 min,"Dramas, International Movies, Romantic Movies","Under pressure to marry, a rich playboy is conflicted between four women who each possess a different quality he desires in his ideal wife.",2019.0,6.0
8528,s8529,Movie,The Thief and the Imbecile,"Mohammed El-Tahawy, Mohamed Mostafa","Khaled El Sawy, Khaled Saleh, Ruby",Egypt,2019-06-06,2013,TV-14,96 min,"Dramas, International Movies","A street beggar befriends a man who lost his eye in a brawl, unaware that his new acquaintance is plotting to make him his unwitting organ donor.",2019.0,6.0
8550,s8551,Movie,The Walls of the Moon,"Ossama Abu El Atta, Tarek Al Eryan","Mona Zaki, Asser Yassin, Amr Saad, Salwa Mohammed",Egypt,2019-04-18,2015,TV-14,98 min,"Action & Adventure, Dramas, International Movies","After losing her eyesight in an accident, a woman lands in a love triangle as she looks for meaning in her life.",2019.0,4.0
8663,s8664,Movie,Unruly Friends,Sherif Mandour,"Kinda Allouch, Ahmed Salah Al-Saadany, Dina Fouad, Amr Youssef, Ahmed Safwat, Madlyn Tabar, Yasser Ali Maher, Nadia Fahmi, Menha Zaytoon, Tamim Abdou, Mostafa Abd Elsalam",Egypt,2019-06-20,2011,TV-14,83 min,"International Movies, Thrillers",A young woman discovers that familial and psychological traumas can be difficult to leave behind.,2019.0,6.0
8666,s8667,Movie,Used Goods,Mohamed Hamdy,"Mohamed Ragab, Ayten Amer, Hassan Abdulfattah",Egypt,2019-09-01,2018,TV-14,95 min,"Action & Adventure, Comedies, International Movies","To evade greedy pharmaceutical crooks, a medical scientist disguises himself as a struggling salesman to protect his groundbreaking cancer research.",2019.0,9.0
8698,s8699,Movie,Warda,Hadi El Bagoury,"Nada Al Alfi, Bassel El Kadi, Samira Maqroun, Tareq Abdalla, Ahmed Awni, Emad Ghoniem, Abeer Mansour, Youssef Mohamed",Egypt,2019-04-18,2014,TV-14,73 min,"Horror Movies, Independent Movies, International Movies","When an aspiring documentarian returns to his hometown to investigate paranormal happenings, his girlfriend's mental health takes a troubling turn.",2019.0,4.0
